999;1234;9856;365;Familiar;3;100;O
999;56789;96325;968;Doble;2;80;L
999;98753;2475;367;Triple;3;70;R
999;1234;9856;9865;Familiar;5;200;0
999;1001;1001;1;Doble;2;100;L
999;1002;1002;2;Triple;3;200;L
999;1003;1003;3;Familiar;5;300;L
999;1004;1004;4;Doble;2;100;L
999;1005;1005;5;Triple;3;200;L
999;1006;1006;6;Familiar;5;300;L
999;1007;1007;7;Doble;2;100;L
999;1008;1008;8;Triple;3;200;L
999;1009;1009;9;Familiar;5;300;L
999;1010;1010;10;Doble;2;100;L
888;1011;1011;11;Triple;3;200;L
888;1012;1012;12;Familiar;5;300;L
888;1013;1013;13;Doble;2;100;L
888;1014;1014;14;Triple;3;200;L
888;1015;1015;15;Familiar;5;300;L
888;1016;1016;16;Doble;2;100;L
888;1017;1017;17;Triple;3;200;L
888;1018;1018;18;Familiar;5;300;L
888;1019;1019;19;Doble;2;100;L
888;1020;1020;20;Triple;3;200;L
777;1021;1021;21;Familiar;5;300;L
777;1022;1022;22;Doble;2;100;L
777;1023;1023;23;Triple;3;200;L
777;1024;1024;24;Familiar;5;300;L
777;1025;1025;25;Doble;2;100;L
777;1026;1026;26;Triple;3;200;L
777;1027;1027;27;Familiar;5;300;L
777;1028;1028;28;Doble;2;100;L
777;1029;1029;29;Triple;3;200;L
777;1030;1030;30;Familiar;5;300;L
999;1001;1001;21;Doble;2;100;R
999;1002;1002;22;Triple;3;200;R
999;1003;1003;23;Familiar;5;300;R
999;1004;1004;24;Doble;2;100;R
999;1005;1005;25;Triple;3;200;R
999;1006;1006;26;Familiar;5;300;R
999;1007;1007;27;Doble;2;100;R
999;1008;1008;28;Triple;3;200;R
999;1009;1009;29;Familiar;5;300;R
999;1010;1010;210;Doble;2;100;R
888;1011;1011;211;Triple;3;200;R
888;1012;1012;212;Familiar;5;300;R
888;1013;1013;213;Doble;2;100;R
888;1014;1014;214;Triple;3;200;R
888;1015;1015;215;Familiar;5;300;R
888;1016;1016;216;Doble;2;100;R
888;1017;1017;217;Triple;3;200;R
888;1018;1018;218;Familiar;5;300;R
888;1019;1019;219;Doble;2;100;R
888;1020;1020;220;Triple;3;200;R
777;1021;1021;221;Familiar;5;300;R
777;1022;1022;222;Doble;2;100;R
777;1023;1023;223;Triple;3;200;R
777;1024;1024;224;Familiar;5;300;R
777;1025;1025;225;Doble;2;100;R
777;1026;1026;226;Triple;3;200;R
777;1027;1027;227;Familiar;5;300;R
777;1028;1028;228;Doble;2;100;R
777;1029;1029;229;Triple;3;200;R
777;1030;1030;230;Familiar;5;300;R
999;1001;1001;31;Doble;2;100;O
999;1002;1002;32;Triple;3;200;O
999;1003;1003;33;Familiar;5;300;O
999;1004;1004;34;Doble;2;100;O
999;1005;1005;35;Triple;3;200;O
999;1006;1006;36;Familiar;5;300;O
999;1007;1007;37;Doble;2;100;O
999;1008;1008;38;Triple;3;200;O
999;1009;1009;39;Familiar;5;300;O
999;1010;1010;310;Doble;2;100;O
888;1011;1011;311;Triple;3;200;O
888;1012;1012;312;Familiar;5;300;O
888;1013;1013;313;Doble;2;100;O
888;1014;1014;314;Triple;3;200;O
888;1015;1015;315;Familiar;5;300;O
888;1016;1016;316;Doble;2;100;O
888;1017;1017;317;Triple;3;200;O
888;1018;1018;318;Familiar;5;300;O
888;1019;1019;319;Doble;2;100;O
888;1020;1020;320;Triple;3;200;O
777;1021;1021;321;Familiar;5;300;O
777;1022;1022;322;Doble;2;100;O
777;1023;1023;323;Triple;3;200;O
777;1024;1024;324;Familiar;5;300;O
777;1025;1025;325;Doble;2;100;O
777;1026;1026;326;Triple;3;200;O
777;1027;1027;327;Familiar;5;300;O
777;1028;1028;328;Doble;2;100;O
777;1029;1029;329;Triple;3;200;O
777;1030;1030;330;Familiar;5;300;O
888;1014;1014;14;Triple;3;200;R
888;1015;1015;15;Familiar;5;300;R
888;1016;1016;16;Doble;2;100;R
888;1017;1017;17;Triple;3;200;R
888;1018;1018;218;Familiar;5;300;L
888;1019;1019;219;Doble;2;100;L
888;1020;1020;220;Triple;3;200;L
777;1021;1021;221;Familiar;5;300;L
888;1020;1020;320;Triple;3;200;L
777;1021;1021;321;Familiar;5;300;R
777;1022;1022;322;Doble;2;100;L
777;1023;1023;323;Triple;3;200;R
