999;9856;65;Alegria;120
999;9875;28;Hertzy;50
999;7314;37;Bugle;62
999;9856;80;B&Max;92
999;1001;1001;AxRAXP;100
999;1002;1002;AxRBXP;200
999;1003;1003;AxRCXP;300
999;1004;1004;AxRDXP;100
999;1005;1005;AxREXP;200
999;1006;1006;AxRFXP;300
999;1007;1007;AxRGXP;100
999;1008;1008;AxRHXP;200
999;1009;1009;AxRIXP;300
999;1010;1010;CxEJXP;100
888;1011;1011;CxEKXP;200
888;1012;1012;CxELXP;300
888;1013;1013;CxENXP;100
888;1014;1014;CxEMXP;200
888;1015;1015;CxEOXP;300
888;1016;1016;CxEPXP;100
888;1017;1017;CxEQXP;200
888;1018;1018;CxERXP;300
888;1019;1019;CxESXP;100
888;1020;1020;DxWTXP;200
777;1021;1021;DxWUXP;300
777;1022;1022;DxWVXP;100
777;1023;1023;DxWXXP;200
777;1024;1024;DxWYXP;300
777;1025;1025;DxWZXP;100
777;1026;1026;DxWAXP;200
777;1027;1027;DxWBXP;300
777;1028;1028;DxWCXP;100
777;1029;1029;DxWDXP;200
777;1030;1030;ExQEXP;300
999;1005;1005;AAAA;200
999;1006;1006;AAAA;300
999;1007;1007;AAAA;100
999;1008;1008;AAAA;200
777;1023;1023;BBBB;200
777;1024;1024;BBBB;300
777;1025;1025;BBBB;100
777;1026;1026;BBBB;200
