999;9856;65;235;Sedan;5;2000;500;L
999;9875;28;896;Doble traccion;4;1998;300;R
999;7314;37;963;Familiar;8;2016;450;O
999;1001;1001;1001;Sedan;2;2000;500;L
999;1002;1002;1002;Doble traccion;5;2010;600;L
999;1003;1003;1003;Familiar;7;2020;700;L
999;1004;1004;1004;Sedan;2;2000;500;L
999;1005;1005;1005;Doble traccion;5;2010;600;L
999;1006;1006;1006;Familiar;7;2020;700;L
999;1007;1007;1007;Sedan;2;2000;500;L
999;1008;1008;1008;Doble traccion;5;2010;600;L
999;1009;1009;1009;Familiar;7;2020;700;L
999;1010;1010;1010;Sedan;2;2000;500;L
888;1011;1011;1011;Doble traccion;5;2010;600;L
888;1012;1012;1012;Familiar;7;2020;700;L
888;1013;1013;1013;Sedan;2;2000;500;L
888;1014;1014;1014;Doble traccion;5;2010;600;L
888;1015;1015;1015;Familiar;7;2020;700;L
888;1016;1016;1016;Sedan;2;2000;500;L
888;1017;1017;1017;Doble traccion;5;2010;600;L
888;1018;1018;1018;Familiar;7;2020;700;L
888;1019;1019;1019;Sedan;2;2000;500;L
888;1020;1020;1020;Doble traccion;5;2010;600;L
777;1021;1021;1021;Familiar;7;2020;700;L
777;1022;1022;1022;Sedan;2;2000;500;L
777;1023;1023;1023;Doble traccion;5;2010;600;L
777;1024;1024;1024;Familiar;7;2020;700;L
777;1025;1025;1025;Sedan;2;2000;500;L
777;1026;1026;1026;Doble traccion;5;2010;600;L
777;1027;1027;1027;Familiar;7;2020;700;L
777;1028;1028;1028;Sedan;2;2000;500;L
777;1029;1029;1029;Doble traccion;5;2010;600;L
777;1030;1030;1030;Familiar;7;2020;700;L
999;1001;1001;11001;Sedan;2;2000;500;R
999;1002;1002;11002;Doble traccion;5;2010;600;R
999;1003;1003;11003;Familiar;7;2020;700;R
999;1004;1004;11004;Sedan;2;2000;500;R
999;1005;1005;11005;Doble traccion;5;2010;600;R
999;1006;1006;11006;Familiar;7;2020;700;R
999;1007;1007;11007;Sedan;2;2000;500;R
999;1008;1008;11008;Doble traccion;5;2010;600;R
999;1009;1009;11009;Familiar;7;2020;700;R
999;1010;1010;11010;Sedan;2;2000;500;R
888;1011;1011;11011;Doble traccion;5;2010;600;R
888;1012;1012;11012;Familiar;7;2020;700;R
888;1013;1013;11013;Sedan;2;2000;500;R
888;1014;1014;11014;Doble traccion;5;2010;600;R
888;1015;1015;11015;Familiar;7;2020;700;R
888;1016;1016;11016;Sedan;2;2000;500;R
888;1017;1017;11017;Doble traccion;5;2010;600;R
888;1018;1018;11018;Familiar;7;2020;700;R
888;1019;1019;11019;Sedan;2;2000;500;R
888;1020;1020;11020;Doble traccion;5;2010;600;R
777;1021;1021;11021;Familiar;7;2020;700;R
777;1022;1022;11022;Sedan;2;2000;500;R
777;1023;1023;11023;Doble traccion;5;2010;600;R
777;1024;1024;11024;Familiar;7;2020;700;R
777;1025;1025;11025;Sedan;2;2000;500;R
777;1026;1026;11026;Doble traccion;5;2010;600;R
777;1027;1027;11027;Familiar;7;2020;700;R
777;1028;1028;11028;Sedan;2;2000;500;R
777;1029;1029;11029;Doble traccion;5;2010;600;R
777;1030;1030;11030;Familiar;7;2020;700;R
999;1001;1001;21001;Sedan;2;2000;500;O
999;1002;1002;21002;Doble traccion;5;2010;600;O
999;1003;1003;21003;Familiar;7;2020;700;O
999;1004;1004;21004;Sedan;2;2000;500;O
999;1005;1005;21005;Doble traccion;5;2010;600;O
999;1006;1006;21006;Familiar;7;2020;700;O
999;1007;1007;21007;Sedan;2;2000;500;O
999;1008;1008;21008;Doble traccion;5;2010;600;O
999;1009;1009;21009;Familiar;7;2020;700;O
999;1010;1010;21010;Sedan;2;2000;500;O
888;1011;1011;21011;Doble traccion;5;2010;600;O
888;1012;1012;21012;Familiar;7;2020;700;O
888;1013;1013;21013;Sedan;2;2000;500;O
888;1014;1014;21014;Doble traccion;5;2010;600;O
888;1015;1015;21015;Familiar;7;2020;700;O
888;1016;1016;21016;Sedan;2;2000;500;O
888;1017;1017;21017;Doble traccion;5;2010;600;O
888;1018;1018;21018;Familiar;7;2020;700;O
888;1019;1019;21019;Sedan;2;2000;500;O
888;1020;1020;21020;Doble traccion;5;2010;600;O
777;1021;1021;21021;Familiar;7;2020;700;O
777;1022;1022;21022;Sedan;2;2000;500;O
777;1023;1023;21023;Doble traccion;5;2010;600;O
777;1024;1024;21024;Familiar;7;2020;700;O
777;1025;1025;21025;Sedan;2;2000;500;O
777;1026;1026;21026;Doble traccion;5;2010;600;O
777;1027;1027;21027;Familiar;7;2020;700;O
777;1028;1028;21028;Sedan;2;2000;500;O
777;1029;1029;21029;Doble traccion;5;2010;600;O
777;1030;1030;21030;Familiar;7;2020;700;O
999;1006;1006;1006;Familiar;7;2020;700;R
999;1007;1007;1007;Sedan;2;2000;500;R
999;1008;1008;1008;Doble traccion;5;2010;600;R
999;1009;1009;1009;Familiar;7;2020;700;R
999;1006;1006;11006;Familiar;7;2020;700;L
999;1007;1007;11007;Sedan;2;2000;500;L
999;1008;1008;11008;Doble traccion;5;2010;600;L
999;1009;1009;11009;Familiar;7;2020;700;L
777;1022;1022;21022;Sedan;2;2000;500;L
777;1023;1023;21023;Doble traccion;5;2010;600;R
777;1024;1024;21024;Familiar;7;2020;700;L
777;1025;1025;21025;Sedan;2;2000;500;R
