999;9856;Alamo;120
999;9875;Hertz;250
999;7314;Bug;962
999;9856;B&M;623
999;1001;AxRA;100
999;1002;AxRB;200
999;1003;AxRC;300
999;1004;AxRD;100
999;1005;AxRE;200
999;1006;AxRF;300
999;1007;AxRG;100
999;1008;AxRH;200
999;1009;AxRI;300
999;1010;CxEJ;100
888;1011;CxEK;200
888;1012;CxEL;300
888;1013;CxEN;100
888;1014;CxEM;200
888;1015;CxEO;300
888;1016;CxEP;100
888;1017;CxEQ;200
888;1018;CxER;300
888;1019;CxES;100
888;1020;DxWT;200
777;1021;DxWU;300
777;1022;DxWV;100
777;1023;DxWX;200
777;1024;DxWY;300
777;1025;DxWZ;100
777;1026;DxWA;200
777;1027;DxWB;300
777;1028;DxWC;100
777;1029;DxWD;200
777;1030;ExQE;300
999;1004;AAAA;100
999;1005;AAAA;200
999;1006;AAAA;300
999;1007;AAAA;100
777;1022;BBBB;100
777;1023;BBBB;200
777;1024;BBBB;300
777;1025;BBBB;100
